50	10	0.15
117	80	88	118	61	39	77	71	64	101			0	80	0	74	81	83	0	79	0	66	3
114	77	85	115	58	36	74	68	61	98			0	0	0	45	65	73	0	60	0	0	1
105	68	76	106	49	27	65	59	52	89			0	0	61	65	74	78	0	72	0	0	3
114	77	85	115	58	36	74	68	61	98			0	0	0	59	67	70	61	65	0	0	3
118	81	89	119	62	40	78	72	65	102			71	86	84	81	86	87	0	85	0	0	3
104	67	75	105	48	26	64	58	51	88			72	80	79	0	0	82	81	0	85	75	3
103	66	74	104	47	25	63	57	50	87			71	0	89	84	90	92	0	89	0	0	1
103	66	74	104	47	25	63	57	50	87			77	0	86	83	87	88	89	86	0	82	2
122	85	93	123	66	44	82	76	69	106			0	0	0	50	58	62	0	56	61	0	2
109	72	80	110	53	31	69	63	56	93			76	84	83	82	0	0	86	0	89	80	3
114	77	85	115	58	36	74	68	61	98			0	61	0	59	69	73	0	67	0	0	2
112	75	83	113	56	34	72	66	59	96			75	86	0	82	85	87	87	85	0	80	3
122	85	93	123	66	44	82	76	69	106			0	0	0	45	65	73	0	60	0	0	2
120	83	91	121	64	42	80	74	67	104			71	86	84	81	86	87	0	85	0	0	2
111	74	82	112	55	33	71	65	58	95			80	0	92	88	92	94	0	91	0	86	1
108	71	79	109	52	30	68	62	55	92			0	61	0	59	69	73	0	67	0	0	1
107	70	78	108	51	29	67	61	54	91			0	72	71	71	73	74	73	73	76	67	3
119	82	90	120	63	41	79	73	66	103			61	0	0	85	95	98	0	92	0	0	3
120	83	91	121	64	42	80	74	67	104			74	82	81	0	0	0	83	82	86	77	1
110	73	81	111	54	32	70	64	57	94			0	0	0	50	58	62	0	56	61	0	1
103	66	74	104	47	25	63	57	50	87			57	0	0	73	79	81	0	78	89	0	1
110	73	81	111	54	32	70	64	57	94			0	0	0	57	62	64	57	61	65	0	3
114	77	85	115	58	36	74	68	61	98			75	83	81	80	83	0	84	0	87	78	2
114	77	85	115	58	36	74	68	61	98			0	0	0	50	58	62	0	56	61	0	2
112	75	83	113	56	34	72	66	59	96			0	0	0	73	79	80	80	77	0	65	3
109	72	80	110	53	31	69	63	56	93			0	0	80	77	83	85	0	82	0	71	2
103	66	74	104	47	25	63	57	50	87			0	0	61	65	74	78	0	72	0	0	3
117	80	88	118	61	39	77	71	64	101			0	0	61	65	74	78	0	72	0	0	2
106	69	77	107	50	28	66	60	53	90			0	61	0	59	69	73	0	67	0	0	2
119	82	90	120	63	41	79	73	66	103			0	0	0	45	65	73	0	60	0	0	2
119	82	90	120	63	41	79	73	66	103			75	83	82	0	0	0	84	0	88	78	3
121	84	92	122	65	43	81	75	68	105			0	0	0	45	65	73	0	60	0	0	1
122	85	93	123	66	44	82	76	69	106			0	0	0	50	58	62	0	56	61	0	2
111	74	82	112	55	33	71	65	58	95			0	71	66	67	74	76	0	72	0	0	2
118	81	89	119	62	40	78	72	65	102			0	0	0	59	67	70	61	65	0	0	2
120	83	91	121	64	42	80	74	67	104			76	85	83	82	85	86	86	84	0	80	1
110	73	81	111	54	32	70	64	57	94			72	80	79	0	0	82	81	0	85	75	1
115	78	86	116	59	37	75	69	62	99			75	83	82	0	0	0	84	0	88	78	2
117	80	88	118	61	39	77	71	64	101			78	92	0	86	90	92	0	89	0	84	1
107	70	78	108	51	29	67	61	54	91			0	57	0	57	63	65	0	61	66	0	3
118	81	89	119	62	40	78	72	65	102			76	83	82	81	0	0	85	83	88	79	3
118	81	89	119	62	40	78	72	65	102			0	61	0	59	69	73	0	67	0	0	1
121	84	92	122	65	43	81	75	68	105			75	83	81	80	83	0	84	0	87	78	2
113	76	84	114	57	35	73	67	60	97			0	65	0	63	69	71	66	67	0	0	1
112	75	83	113	56	34	72	66	59	96			0	57	0	57	63	65	0	61	66	0	2
119	82	90	120	63	41	79	73	66	103			61	0	0	85	95	98	0	92	0	0	2
104	67	75	105	48	26	64	58	51	88			72	80	78	0	0	81	81	79	84	75	2
107	70	78	108	51	29	67	61	54	91			71	0	89	84	90	92	0	89	0	0	1
108	71	79	109	52	30	68	62	55	92			0	0	0	45	65	73	0	60	0	0	1
118	81	89	119	62	40	78	72	65	102			0	72	71	71	73	74	73	73	76	67	3
20	11	20	15	13	14	16	11	12	14	
2946	1434	2038	1783	1327	557	2129	890	1292	2099	
1	1	1	1	1	1	1	1	1	1	
